frame_id,ground_truth_code,verified_code,crop_count,status,reviewer,split,source_dir,frame_number,notes,verified_at
live-setup-20260616-201017__frame-1,SWE8,,8,not_sticker,,train,live-setup-20260616-201017,1,,2026-06-17T00:15:48.057Z
live-setup-20260616-201017__frame-2,SWE8,IRQ20,8,confirmed,,train,live-setup-20260616-201017,2,,2026-06-17T00:13:58.313Z
live-setup-20260616-201017__frame-3,SWE8,NED12,8,confirmed,,train,live-setup-20260616-201017,3,,2026-06-17T00:13:58.725Z
live-setup-20260616-201017__frame-4,SWE8,SWE8,8,confirmed,,train,live-setup-20260616-201017,4,,2026-06-17T00:13:59.811Z
live-setup-20260616-201017__frame-5,SWE8,SWE8,8,confirmed,,test,live-setup-20260616-201017,5,,2026-06-17T00:14:22.065Z
live-user-20260616-201108__frame-4,SWE8,,8,not_sticker,,train,live-user-20260616-201108,4,,2026-06-17T00:14:22.663Z
live-user-20260616-201108__frame-5,SWE8,,6,not_sticker,,train,live-user-20260616-201108,5,,2026-06-17T00:14:23.195Z
live-user-20260616-201108__frame-6,SWE8,,8,not_sticker,,train,live-user-20260616-201108,6,,2026-06-17T00:14:23.674Z
live-user-20260616-201108__frame-7,SWE8,,6,not_sticker,,train,live-user-20260616-201108,7,,2026-06-17T00:14:24.109Z
live-user-20260616-201108__frame-8,SWE8,,6,not_sticker,,train,live-user-20260616-201108,8,,2026-06-17T00:14:24.566Z
live-user-20260616-201108__frame-9,SWE8,,6,not_sticker,,train,live-user-20260616-201108,9,,2026-06-17T00:14:25.086Z
live-user-20260616-201108__frame-10,SWE8,,8,not_sticker,,train,live-user-20260616-201108,10,,2026-06-17T00:14:25.589Z
live-user-20260616-201108__frame-11,SWE8,,4,not_sticker,,test,live-user-20260616-201108,11,,2026-06-17T00:14:26.082Z
live-user-20260616-201108__frame-12,SWE8,,8,not_sticker,,train,live-user-20260616-201108,12,,2026-06-17T00:14:26.546Z
live-user-20260616-201108__frame-13,SWE8,,6,not_sticker,,train,live-user-20260616-201108,13,,2026-06-17T00:14:27.821Z
live-user-20260616-201108__frame-14,SWE8,,6,not_sticker,,train,live-user-20260616-201108,14,,2026-06-17T00:14:28.549Z
live-user-20260616-201108__frame-15,SWE8,,4,not_sticker,,train,live-user-20260616-201108,15,,2026-06-17T00:14:29.280Z
live-user-20260616-201108__frame-16,SWE8,,6,not_sticker,,val,live-user-20260616-201108,16,,2026-06-17T00:14:29.878Z
live-user-20260616-201108__frame-17,SWE8,,6,not_sticker,,train,live-user-20260616-201108,17,,2026-06-17T00:14:30.469Z
live-user-20260616-201108__frame-18,SWE8,,6,not_sticker,,train,live-user-20260616-201108,18,,2026-06-17T00:14:30.996Z
live-user-20260616-201108__frame-19,SWE8,,6,not_sticker,,train,live-user-20260616-201108,19,,2026-06-17T00:14:31.520Z
live-user-20260616-201108__frame-20,SWE8,,6,not_sticker,,train,live-user-20260616-201108,20,,2026-06-17T00:14:32.006Z
live-user-20260616-201108__frame-21,SWE8,,6,not_sticker,,train,live-user-20260616-201108,21,,2026-06-17T00:14:32.495Z
live-user-20260616-201108__frame-22,SWE8,,4,not_sticker,,train,live-user-20260616-201108,22,,2026-06-17T00:14:32.971Z
live-user-20260616-201108__frame-23,SWE8,,6,not_sticker,,train,live-user-20260616-201108,23,,2026-06-17T00:14:33.451Z
live-user-20260616-201108__frame-24,SWE8,,6,not_sticker,,test,live-user-20260616-201108,24,,2026-06-17T00:14:33.902Z
live-user-20260616-201108__frame-25,SWE8,,6,not_sticker,,train,live-user-20260616-201108,25,,2026-06-17T00:14:34.470Z
live-user-20260616-201108__frame-26,SWE8,,6,not_sticker,,train,live-user-20260616-201108,26,,2026-06-17T00:14:34.986Z
live-user-20260616-201108__frame-27,SWE8,,6,not_sticker,,train,live-user-20260616-201108,27,,2026-06-17T00:14:35.468Z
live-user-20260616-201108__frame-28,SWE8,,6,not_sticker,,test,live-user-20260616-201108,28,,2026-06-17T00:14:36.174Z
live-user-20260616-201108__frame-29,SWE8,,6,not_sticker,,val,live-user-20260616-201108,29,,2026-06-17T00:14:36.828Z
live-user-20260616-201108__frame-30,SWE8,,6,not_sticker,,train,live-user-20260616-201108,30,,2026-06-17T00:14:37.192Z
live-user-20260616-201108__frame-31,SWE8,,2,not_sticker,,train,live-user-20260616-201108,31,,2026-06-17T00:14:37.690Z
live-user-20260616-201108__frame-32,SWE8,,6,not_sticker,,val,live-user-20260616-201108,32,,2026-06-17T00:14:38.180Z
live-user-20260616-201108__frame-33,SWE8,,6,not_sticker,,train,live-user-20260616-201108,33,,2026-06-17T00:14:38.625Z
live-user-20260616-201108__frame-34,SWE8,,8,not_sticker,,train,live-user-20260616-201108,34,,2026-06-17T00:14:39.102Z
live-user-20260616-201108__frame-35,SWE8,,6,not_sticker,,train,live-user-20260616-201108,35,,2026-06-17T00:14:39.564Z
live-user-20260616-201108__frame-36,SWE8,,6,not_sticker,,train,live-user-20260616-201108,36,,2026-06-17T00:14:40.042Z
live-user-20260616-201108__frame-37,SWE8,,6,not_sticker,,train,live-user-20260616-201108,37,,2026-06-17T00:14:40.505Z
live-user-20260616-201108__frame-38,SWE8,,4,not_sticker,,test,live-user-20260616-201108,38,,2026-06-17T00:14:40.974Z
live-user-20260616-201108__frame-39,SWE8,,6,not_sticker,,train,live-user-20260616-201108,39,,2026-06-17T00:14:41.418Z
live-user-20260616-201108__frame-40,SWE8,,4,not_sticker,,train,live-user-20260616-201108,40,,2026-06-17T00:14:41.918Z
live-user-20260616-201108__frame-41,SWE8,,6,not_sticker,,train,live-user-20260616-201108,41,,2026-06-17T00:14:42.380Z
live-user-20260616-201108__frame-42,SWE8,,6,not_sticker,,train,live-user-20260616-201108,42,,2026-06-17T00:14:42.819Z
live-user-20260616-201108__frame-43,SWE8,,4,not_sticker,,train,live-user-20260616-201108,43,,2026-06-17T00:14:43.346Z
live-user-20260616-201108__frame-44,SWE8,,6,not_sticker,,val,live-user-20260616-201108,44,,2026-06-17T00:14:43.863Z
live-user-20260616-201108__frame-45,SWE8,,6,not_sticker,,train,live-user-20260616-201108,45,,2026-06-17T00:14:44.306Z
live-user-20260616-201108__frame-46,SWE8,SWE8,4,confirmed,,train,live-user-20260616-201108,46,,2026-06-17T00:14:48.120Z
live-user-20260616-201108__frame-47,SWE8,SWE8,6,confirmed,,train,live-user-20260616-201108,47,,2026-06-17T00:14:49.751Z
live-user-20260616-201108__frame-48,SWE8,SWE8,4,confirmed,,train,live-user-20260616-201108,48,,2026-06-17T00:14:51.021Z
live-user-20260616-201108__frame-49,SWE8,SWE8,4,confirmed,,train,live-user-20260616-201108,49,,2026-06-17T00:14:52.629Z
live-user-20260616-201108__frame-50,SWE8,SWE8,6,confirmed,,val,live-user-20260616-201108,50,,2026-06-17T00:14:53.802Z
live-user-20260616-201108__frame-51,SWE8,SWE8,4,confirmed,,train,live-user-20260616-201108,51,,2026-06-17T00:14:54.909Z
live-user-20260616-201108__frame-52,SWE8,,6,not_sticker,,train,live-user-20260616-201108,52,,2026-06-17T00:14:56.344Z
live-user-20260616-201108__frame-53,SWE8,,6,not_sticker,,train,live-user-20260616-201108,53,,2026-06-17T00:14:56.895Z
live-user-20260616-201108__frame-54,SWE8,,6,not_sticker,,train,live-user-20260616-201108,54,,2026-06-17T00:14:57.444Z
live-user-full-20260616-201728__frame-345,SWE8,,0,missing_frame,,train,live-user-full-20260616-201728,345,Diretorio sem frame.pgm.gz; excluido das metricas ate haver imagem verificavel,2026-06-17T00:15:03.318Z
