album_order,code,normalized_code,section_code,section_slug,section_name_en,section_name_pt,world_cup_group,number,name,type,is_foil,source_page_url,source_sticker_url
1,00,00,PANINI,panini,Panini,Especiais,,0,Panini Logo - We Are Panini,special,true,https://scanini.app/teams/panini,https://scanini.app/stickers/panini-logo
2,FWC 1,FWC1,FWC,world-cup-history,World Cup History,Especiais,,1,Official Emblem,special,true,https://scanini.app/teams/world-cup-history,https://scanini.app/stickers/world-cup-history-1-official-emblem
3,FWC 2,FWC2,FWC,world-cup-history,World Cup History,Especiais,,2,Official Emblem,special,true,https://scanini.app/teams/world-cup-history,https://scanini.app/stickers/world-cup-history-2-official-emblem
4,FWC 3,FWC3,FWC,world-cup-history,World Cup History,Especiais,,3,Official Mascots,special,true,https://scanini.app/teams/world-cup-history,https://scanini.app/stickers/world-cup-history-3-official-mascots
5,FWC 4,FWC4,FWC,world-cup-history,World Cup History,Especiais,,4,Official Slogan,special,true,https://scanini.app/teams/world-cup-history,https://scanini.app/stickers/world-cup-history-4-official-slogan
6,FWC 5,FWC5,FWC,world-cup-history,World Cup History,Especiais,,5,Official Ball,special,true,https://scanini.app/teams/world-cup-history,https://scanini.app/stickers/world-cup-history-5-official-ball
7,FWC 6,FWC6,FWC,world-cup-history,World Cup History,Especiais,,6,Canada - Host Countries & Cities,special,true,https://scanini.app/teams/world-cup-history,https://scanini.app/stickers/world-cup-history-6-canada-host-countries-cities
8,FWC 7,FWC7,FWC,world-cup-history,World Cup History,Especiais,,7,Mexico - Host Countries & Cities,special,true,https://scanini.app/teams/world-cup-history,https://scanini.app/stickers/world-cup-history-7-mexico-host-countries-cities
9,FWC 8,FWC8,FWC,world-cup-history,World Cup History,Especiais,,8,USA - Host Countries & Cities,special,true,https://scanini.app/teams/world-cup-history,https://scanini.app/stickers/world-cup-history-8-usa-host-countries-cities
10,FWC 9,FWC9,FWC,world-cup-history,World Cup History,Especiais,,9,Italy 1934 - World Cup History,special,true,https://scanini.app/teams/world-cup-history,https://scanini.app/stickers/world-cup-history-9-italy-1934-world-cup-history
11,FWC 10,FWC10,FWC,world-cup-history,World Cup History,Especiais,,10,Uruguay 1950 - World Cup History,special,true,https://scanini.app/teams/world-cup-history,https://scanini.app/stickers/world-cup-history-10-uruguay-1950-world-cup-history
12,FWC 11,FWC11,FWC,world-cup-history,World Cup History,Especiais,,11,West Germany 1954 - World Cup History,special,true,https://scanini.app/teams/world-cup-history,https://scanini.app/stickers/world-cup-history-11-west-germany-1954-world-cup-history
13,FWC 12,FWC12,FWC,world-cup-history,World Cup History,Especiais,,12,Brazil 1962 - World Cup History,special,true,https://scanini.app/teams/world-cup-history,https://scanini.app/stickers/world-cup-history-12-brazil-1962-world-cup-history
14,FWC 13,FWC13,FWC,world-cup-history,World Cup History,Especiais,,13,West Germany 1974 - World Cup History,special,true,https://scanini.app/teams/world-cup-history,https://scanini.app/stickers/world-cup-history-13-west-germany-1974-world-cup-history
15,FWC 14,FWC14,FWC,world-cup-history,World Cup History,Especiais,,14,Argentina 1986 - World Cup History,special,true,https://scanini.app/teams/world-cup-history,https://scanini.app/stickers/world-cup-history-14-argentina-1986-world-cup-history
16,FWC 15,FWC15,FWC,world-cup-history,World Cup History,Especiais,,15,Brazil 1994 - World Cup History,special,true,https://scanini.app/teams/world-cup-history,https://scanini.app/stickers/world-cup-history-15-brazil-1994-world-cup-history
17,FWC 16,FWC16,FWC,world-cup-history,World Cup History,Especiais,,16,Brazil 2002 - World Cup History,special,true,https://scanini.app/teams/world-cup-history,https://scanini.app/stickers/world-cup-history-16-brazil-2002-world-cup-history
18,FWC 17,FWC17,FWC,world-cup-history,World Cup History,Especiais,,17,Italy 2006 - World Cup History,special,true,https://scanini.app/teams/world-cup-history,https://scanini.app/stickers/world-cup-history-17-italy-2006-world-cup-history
19,FWC 18,FWC18,FWC,world-cup-history,World Cup History,Especiais,,18,Germany 2014 - World Cup History,special,true,https://scanini.app/teams/world-cup-history,https://scanini.app/stickers/world-cup-history-18-germany-2014-world-cup-history
20,FWC 19,FWC19,FWC,world-cup-history,World Cup History,Especiais,,19,Argentina 2022 - World Cup History,special,true,https://scanini.app/teams/world-cup-history,https://scanini.app/stickers/world-cup-history-19-argentina-2022-world-cup-history
21,ALG 1,ALG1,ALG,algeria,Algeria,Argélia,J,1,Team Logo,team_logo,true,https://scanini.app/teams/algeria,https://scanini.app/stickers/algeria-1-team-logo
22,ALG 2,ALG2,ALG,algeria,Algeria,Argélia,J,2,Alexis Guendouz,player,false,https://scanini.app/teams/algeria,https://scanini.app/stickers/algeria-2-alexis-guendouz
23,ALG 3,ALG3,ALG,algeria,Algeria,Argélia,J,3,Ramy Bensebaini,player,false,https://scanini.app/teams/algeria,https://scanini.app/stickers/algeria-3-ramy-bensebaini
24,ALG 4,ALG4,ALG,algeria,Algeria,Argélia,J,4,Youcef Atal,player,false,https://scanini.app/teams/algeria,https://scanini.app/stickers/algeria-4-youcef-atal
25,ALG 5,ALG5,ALG,algeria,Algeria,Argélia,J,5,Rayan Aït-Nouri,player,false,https://scanini.app/teams/algeria,https://scanini.app/stickers/algeria-5-rayan-ait-nouri
26,ALG 6,ALG6,ALG,algeria,Algeria,Argélia,J,6,Mohamed Amine Tougai,player,false,https://scanini.app/teams/algeria,https://scanini.app/stickers/algeria-6-mohamed-amine-tougai
27,ALG 7,ALG7,ALG,algeria,Algeria,Argélia,J,7,Aïssa Mandi,player,false,https://scanini.app/teams/algeria,https://scanini.app/stickers/algeria-7-aissa-mandi
28,ALG 8,ALG8,ALG,algeria,Algeria,Argélia,J,8,Ismael Bennacer,player,false,https://scanini.app/teams/algeria,https://scanini.app/stickers/algeria-8-ismael-bennacer
29,ALG 9,ALG9,ALG,algeria,Algeria,Argélia,J,9,Houssem Aquar,player,false,https://scanini.app/teams/algeria,https://scanini.app/stickers/algeria-9-houssem-aquar
30,ALG 10,ALG10,ALG,algeria,Algeria,Argélia,J,10,Hicham Boudaoui,player,false,https://scanini.app/teams/algeria,https://scanini.app/stickers/algeria-10-hicham-boudaoui
31,ALG 11,ALG11,ALG,algeria,Algeria,Argélia,J,11,Ramiz Zerrouki,player,false,https://scanini.app/teams/algeria,https://scanini.app/stickers/algeria-11-ramiz-zerrouki
